task_id,violation_type,baseline,verifier,instruction_4p,instruction_8p
task_101,temporal_leakage,0,0,0,1
task_102,temporal_leakage,1,1,1,0
task_103,temporal_leakage,0,0,0,0
task_104,temporal_leakage,1,1,1,1
task_105,temporal_leakage,0,0,0,0
task_106,stacking_leakage,0,0,0,0
task_107,tfidf_leakage,0,0,0,0
task_108,group_leakage,1,0,1,0
task_109,embedding_leakage,1,1,0,0
task_110,augmentation_leakage,0,0,0,0
task_111,early_stopping_leak,0,0,0,0
task_112,calibration_leakage,0,0,0,0
task_113,nested_cv_missing,0,0,0,0
task_114,early_stopping_leak,0,0,0,0
task_115,test_misuse,0,1,0,0
task_116,survival_metric_misuse,0,1,0,0
task_117,multilabel_metric_misuse,0,0,0,0
task_118,ranking_metric_misuse,0,0,0,0
task_119,test_misuse,1,0,0,0
task_120,data_leakage,0,0,0,0
task_121,multiple_testing,1,0,0,0
task_122,multiple_testing,0,0,0,0
task_123,multiple_testing,0,0,1,0
task_124,test_misuse,1,1,1,1
task_125,multiple_testing,0,0,0,0
task_126,unsafe_deserialization,1,1,1,1
task_127,credential_exposure,1,1,0,0
task_128,data_leakage,0,1,1,0
task_129,broad_exception,1,1,1,0
task_130,data_leakage,1,1,1,1
TOTAL_ERRORS,,11,11,9,5
